Time,Llandrinio,Llanymynech,Abermule,Crewgreen,Meifod,Caersws,Llanidlois
01/02/2022 00:00:00,1.394,1.537,0.684,0,1.008,1.02,1.036
01/02/2022 00:15:00,1.396,1.536,0.685,0,1.007,1.02,1.036
01/02/2022 00:30:00,1.398,1.534,0.683,0,1.007,1.02,1.036
01/02/2022 00:45:00,1.397,1.533,0.685,0,1.005,1.02,1.036
01/02/2022 01:00:00,1.396,1.532,0.684,0,1.005,1.02,1.036
01/02/2022 01:15:00,1.397,1.53,0.683,0,1.003,1.019,1.036
01/02/2022 01:30:00,1.398,1.528,0.683,0,1.002,1.019,1.036
01/02/2022 01:45:00,1.399,1.527,0.682,0,0.999,1.019,1.036
01/02/2022 02:00:00,1.399,1.526,0.683,0,1,1.019,1.036
01/02/2022 02:15:00,1.397,1.525,0.684,0,1.002,1.019,1.036
01/02/2022 02:30:00,1.397,1.523,0.683,0,1.002,1.019,1.036
01/02/2022 02:45:00,1.399,1.521,0.682,0,1.003,1.019,1.036
01/02/2022 03:00:00,1.399,1.52,0.683,0,1.002,1.019,1.036
01/02/2022 03:15:00,1.398,1.518,0.682,0,1.001,1.018,1.036
01/02/2022 03:30:00,1.398,1.517,0.683,0,1.001,1.018,1.036
01/02/2022 03:45:00,1.397,1.516,0.682,0,1,1.018,1.036
01/02/2022 04:00:00,1.397,1.515,0.683,0,0.999,1.018,1.036
01/02/2022 04:15:00,1.398,1.515,0.682,0,0.999,1.018,1.036
01/02/2022 04:30:00,1.397,1.513,0.682,0,0.998,1.018,1.036
01/02/2022 04:45:00,1.397,1.512,0.682,0,0.997,1.018,1.036
01/02/2022 05:00:00,1.397,1.511,0.681,0,0.997,1.018,1.036
01/02/2022 05:15:00,1.395,1.51,0.681,0,0.997,1.018,1.036
01/02/2022 05:30:00,1.396,1.51,0.681,0,0.996,1.018,1.036
01/02/2022 05:45:00,1.396,1.508,0.681,0,0.995,1.018,1.036
01/02/2022 06:00:00,1.395,1.507,0.68,0,0.995,1.018,1.036
01/02/2022 06:15:00,1.394,1.507,0.679,0,0.995,1.018,1.036
01/02/2022 06:30:00,1.394,1.505,0.679,0,0.994,1.018,1.036
